QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3547809 SANTO ANDRÉ 2020-04-11 17:02:38 EW;3547809;EW;SANTO ANDRÉ;2020-04-11 17:02:38;OK;1;EastWest
3547809 SANTO ANDRÉ 2020-04-11 17:02:40 NS;3547809;NS;SANTO ANDRÉ;2020-04-11 17:02:40;OK;1;NorthSouth
3549904 SÃO JOSÉ DOS CAMPOS 2020-04-11 17:02:44 EW;3549904;EW;SÃO JOSÉ DOS CAMPOS;2020-04-11 17:02:44;OK;1;EastWest
3549904 SÃO JOSÉ DOS CAMPOS 2020-04-11 17:02:47 NS;3549904;NS;SÃO JOSÉ DOS CAMPOS;2020-04-11 17:02:47;OK;1;NorthSouth
2607901 JABOATÃO DOS GUARARAPES 2020-04-11 17:02:49 EW;2607901;EW;JABOATÃO DOS GUARARAPES;2020-04-11 17:02:49;OK;1;EastWest
2607901 JABOATÃO DOS GUARARAPES 2020-04-11 17:02:53 NS;2607901;NS;JABOATÃO DOS GUARARAPES;2020-04-11 17:02:53;OK;1;NorthSouth
3534401 OSASCO 2020-04-11 17:02:56 EW;3534401;EW;OSASCO;2020-04-11 17:02:56;OK;1;EastWest
3534401 OSASCO 2020-04-11 17:02:58 NS;3534401;NS;OSASCO;2020-04-11 17:02:58;OK;1;NorthSouth
3543402 RIBEIRÃO PRETO 2020-04-11 17:03:01 EW;3543402;EW;RIBEIRÃO PRETO;2020-04-11 17:03:01;OK;1;EastWest
3543402 RIBEIRÃO PRETO 2020-04-11 17:03:05 NS;3543402;NS;RIBEIRÃO PRETO;2020-04-11 17:03:05;OK;1;NorthSouth
3170206 UBERLÂNDIA 2020-04-11 17:03:07 EW;3170206;EW;UBERLÂNDIA;2020-04-11 17:03:07;OK;1;EastWest
